department,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01
越南品质部,1,0,0,0,0,0,0,0,0
越南电源企划部,0,0,0,0,0,0,0,0,1
越南电源组装课,0,0,1,0,0,0,0,0,0
越南线缆制造部,1,0,0,1,0,1,0,0,0
越南经管课,1,0,1,0,0,0,0,0,0
越南自动化部,0,0,0,0,1,0,0,0,0
软件测试验证,0,0,0,0,2,1,0,1,0
运营管理部,1,1,0,0,0,0,0,0,0
连接器制样课,1,0,0,0,0,0,0,0,0
连接器工艺工程,1,0,0,0,0,2,0,1,0
连接器模组生产二课,0,0,1,0,0,0,0,1,0
连接器模组生技课,0,1,0,0,0,1,0,0,0
连接器生产一课,0,0,0,0,1,1,1,0,0
通路产品处,2,1,0,0,1,0,0,0,0
通路品质部（JX）,0,0,0,0,0,0,0,0,1
通路项目管理部,0,0,0,0,0,0,1,0,1
采购一部,0,0,0,1,0,1,0,0,1
销售商务部,0,1,3,3,3,0,0,1,0
集团级业务,0,0,0,0,1,0,0,0,0
零件开发课,0,1,0,1,0,0,1,0,0
零部件认证,1,0,0,0,1,1,0,0,1
项目开发部,0,0,0,0,0,0,0,0,1
高温线缆工程课,0,1,0,0,0,0,0,0,0
